# fluera-phrases v2 lang=en built=2026-05-20 sha256=fbbf5185bf722d7d63a39380eefa36f18f85fc8cd2fa8be74a72cc4610c38621 rows=15501
phrase	domains	kind
agouti signaling protein	med	medical
agricultural chemistry	med	medical
agricultural crops	med	medical
agricultural inoculants	med	medical
agricultural irrigation	med	medical
agrobacterium tumefaciens	med	medical
aicardi syndrome	med	medical
aids dementia complex	med	medical
aids serodiagnosis	med	medical
aids vaccines	med	medical
air ambulances	med	medical
air bags	med	medical
air conditioning	med	medical
air embolism	med	medical
air filters	med	medical
air ionization	med	medical
air microbiology	med	medical
air movements	med	medical
air pollutants	med	medical
air pollution	med	medical
air pressure	med	medical
air sacs	med	medical
air travel	med	medical
aire protein	med	medical
airway extubation	med	medical
airway management	med	medical
airway obstruction	med	medical
airway remodeling	med	medical
airway resistance	med	medical
akinetic mutism	med	medical
akr murine leukemia virus	med	medical
alagille syndrome	med	medical
alanine dehydrogenase	med	medical
alanine racemase	med	medical
alanine transaminase	med	medical
alaryngeal speech	med	medical
alaska natives	med	medical
albumin receptors	med	medical
alcaligenes faecalis	med	medical
alcian blue	med	medical
alcohol abstinence	med	medical
alcohol amnestic disorder	med	medical
alcohol dehydrogenase	med	medical
alcohol deterrents	med	medical
alcohol drinking	med	medical
alcohol drinking in college	med	medical
alcohol oxidoreductases	med	medical
alcohol withdrawal delirium	med	medical
alcohol withdrawal seizures	med	medical
alcoholic beverages	med	medical
alcoholic cardiomyopathy	med	medical
alcoholic fatty liver	med	medical
alcoholic hepatitis	med	medical
alcoholic intoxication	med	medical
alcoholic korsakoff syndrome	med	medical
alcoholic liver cirrhosis	med	medical
alcoholic liver diseases	med	medical
alcoholic neuropathy	med	medical
alcoholic pancreatitis	med	medical
alcoholic psychoses	med	medical
alcoholics anonymous	med	medical
aldehyde dehydrogenase	med	medical
aldehyde oxidase	med	medical
aldehyde oxidoreductases	med	medical
aldehyde reductase	med	medical
aldehydic acids	med	medical
aleutian mink disease	med	medical
aleutian mink disease virus	med	medical
alexander disease	med	medical
alfalfa mosaic virus	med	medical
alfaxalone alfadolone mixture	med	medical
algal dna	med	medical
algal proteins	med	medical
algal rna	med	medical
algestone acetophenide	med	medical
alginic acid	med	medical
alice in wonderland syndrome	med	medical
alicyclic hydrocarbons	med	medical
alien limb phenomenon	med	medical
aliivibrio fischeri	med	medical
aliivibrio infections	med	medical
aliivibrio salmonicida	med	medical
alkali metals	med	medical
alkaline ceramidase	med	medical
alkaline earth metals	med	medical
alkaline phosphatase	med	medical
alkanesulfonic acids	med	medical
alkb enzymes	med	medical
alkyl and aryl transferases	med	medical
alkylated estrogenic steroids	med	medical
alkylating agents	med	medical
alkylating antineoplastic agents	med	medical
alkylmercury compounds	med	medical
allelic imbalance	med	medical
allergic bronchopulmonary aspergillosis	med	medical
allergic conjunctivitis	med	medical
allergic contact dermatitis	med	medical
allergic fungal sinusitis	med	medical
allergic rhinitis	med	medical
allergy and immunology	med	medical
allied health occupations	med	medical
allied health personnel	med	medical
alligators and crocodiles	med	medical
allogeneic cells	med	medical
allophanate hydrolase	med	medical
allosteric regulation	med	medical
allosteric site	med	medical
allyl compounds	med	medical
allylbenzene derivatives	med	medical
alma mater	-	latin
almanacs as topic	med	medical
alopecia areata	med	medical
alouatta caraya	med	medical
alpha catenin	med	medical
alpha karyopherins	med	medical
alpha particles	med	medical
alpha rhythm	med	medical
alpha subunit glycoprotein hormones	med	medical
alphavirus infections	med	medical
alstrom syndrome	med	medical
altered gravity	med	medical
alternate juror	law	legal
alternative complement pathway	med	medical
alternative splicing	med	medical
altitude sickness	med	medical
alu elements	med	medical
alum compounds	med	medical
aluminum chloride	med	medical
aluminum compounds	med	medical
aluminum hydroxide	med	medical
aluminum oxide	med	medical
aluminum silicates	med	medical
alveolar bone grafting	med	medical
alveolar bone loss	med	medical
alveolar epithelial cells	med	medical
alveolar macrophages	med	medical
alveolar process	med	medical
alveolar rhabdomyosarcoma	med	medical
alveolar ridge augmentation	med	medical
alveolar soft part sarcoma	med	medical
alzheimer disease	med	medical
alzheimer vaccines	med	medical
amacrine cells	med	medical
amaranth dye	med	medical
amaryllidaceae alkaloids	med	medical
amaurosis fugax	med	medical
ambenonium chloride	med	medical
ambient intelligence	med	medical
ambulance diversion	med	medical
ambulatory blood pressure monitoring	med	medical
ambulatory care	med	medical
ambulatory care facilities	med	medical
ambulatory care information systems	med	medical
ambulatory care sensitive conditions	med	medical
ambulatory electrocardiography	med	medical
ambulatory monitoring	med	medical
ambulatory surgical procedures	med	medical
ambystoma mexicanum	med	medical
amdinocillin pivoxil	med	medical
amebic dysentery	med	medical
amebic liver abscess	med	medical
amelanotic melanoma	med	medical
amelogenesis imperfecta	med	medical
american cancer society	med	medical
american civil war	med	medical
american dental association	med	medical
american heart association	med	medical
american hemorrhagic fever	med	medical
american hospital association	med	medical
american medical association	med	medical
american public health association	med	medical
american revolution	med	medical
american samoa	med	medical
amicus curiae	law	legal
amide synthases	med	medical
amido black	med	medical
amino acid chloromethyl ketones	med	medical
amino acid isomerases	med	medical
amino acid motifs	med	medical
amino acid oxidoreductases	med	medical
amino acid receptors	med	medical
amino acid repetitive sequences	med	medical
amino acid sequence	med	medical
amino acid sequence homology	med	medical
amino acid substitution	med	medical
amino acid transport systems	med	medical
amino acids	med	medical
amino alcohols	med	medical
amino sugars	med	medical
aminobiphenyl compounds	med	medical
aminocaproic acid	med	medical
aminoethylphosphonic acid	med	medical
aminohippuric acids	med	medical
aminoimidazole carboxamide	med	medical
aminoisobutyric acids	med	medical
aminolevulinic acid	med	medical
aminooxyacetic acid	med	medical
aminosalicylic acid	med	medical
aminosalicylic acids	med	medical
ammonium chloride	med	medical
ammonium compounds	med	medical
ammonium hydroxide	med	medical
ammonium sulfate	med	medical
amniotic band syndrome	med	medical
amniotic fluid	med	medical
