# fluera-phrases v2 lang=en built=2026-05-20 sha256=fbbf5185bf722d7d63a39380eefa36f18f85fc8cd2fa8be74a72cc4610c38621 rows=15501
phrase	domains	kind
inbred dahl rats	med	medical
inbred dba mice	med	medical
inbred icr mice	med	medical
inbred lec rats	med	medical
inbred lew rats	med	medical
inbred mdx mice	med	medical
inbred mrl lpr mice	med	medical
inbred nod mice	med	medical
inbred nzb mice	med	medical
inbred oletf rats	med	medical
inbred sencar mice	med	medical
inbred shr rats	med	medical
inbred strains animals	med	medical
inbred strains mice	med	medical
inbred strains rats	med	medical
inbred wf rats	med	medical
inbred wky rats	med	medical
inbreeding depression	med	medical
incentive reimbursement	med	medical
incidental findings	med	medical
incisional hernia	med	medical
inclusion bodies	med	medical
inclusion body myositis	med	medical
inclusion conjunctivitis	med	medical
income tax	med	medical
incomplete abortion	med	medical
incontinence pads	med	medical
incontinentia pigmenti	med	medical
inculpatory evidence	law	legal
incunabula as topic	med	medical
indel mutation	med	medical
independent living	med	medical
independent medical evaluation	med	medical
independent practice associations	med	medical
independent state of samoa	med	medical
indian ocean	med	medical
indian ocean islands	med	medical
indicator dilution techniques	med	medical
indicators and reagents	med	medical
indigenous canadians	med	medical
indigenous health services	med	medical
indigenous peoples	med	medical
indigo carmine	med	medical
indirect calorimetry	med	medical
indirect fluorescent antibody technique	med	medical
indium radioisotopes	med	medical
individual biological variation	med	medical
indocyanine green	med	medical
indole alkaloids	med	medical
indoleacetic acids	med	medical
indoor air pollution	med	medical
induced abortion	med	medical
induced demand	med	medical
induced heart arrest	med	medical
induced hyperthermia	med	medical
induced hypothermia	med	medical
induced labor	med	medical
induced pluripotent stem cells	med	medical
induction chemotherapy	med	medical
industrial development	med	medical
industrial fungicides	med	medical
industrial microbiology	med	medical
industrial oils	med	medical
industrial psychology	med	medical
industrial waste	med	medical
indwelling catheters	med	medical
inert gas narcosis	med	medical
infant behavior	med	medical
infant care	med	medical
infant death	med	medical
infant diapers	med	medical
infant equipment	med	medical
infant food	med	medical
infant formula	med	medical
infant health	med	medical
infant incubators	med	medical
infant mortality	med	medical
infant newborn diseases	med	medical
infant nurseries	med	medical
infant nutrition disorders	med	medical
infant nutritional physiological phenomena	med	medical
infant premature diseases	med	medical
infant welfare	med	medical
infantile diarrhea	med	medical
infantile refsum disease	med	medical
infantile spasms	med	medical
infected aneurysm	med	medical
infection control	med	medical
infection control practitioners	med	medical
infectious arthritis	med	medical
infectious bone diseases	med	medical
infectious bovine rhinotracheitis	med	medical
infectious bronchitis virus	med	medical
infectious bursal disease virus	med	medical
infectious canine hepatitis	med	medical
infectious disease incubation period	med	medical
infectious disease medicine	med	medical
infectious disease transmission	med	medical
infectious ectromelia	med	medical
infectious encephalitis	med	medical
infectious hematopoietic necrosis virus	med	medical
infectious keratoconjunctivitis	med	medical
infectious mononucleosis	med	medical
infectious myxomatosis	med	medical
infectious pancreatic necrosis virus	med	medical
infectious pregnancy complications	med	medical
infectious skin diseases	med	medical
inferior colliculi	med	medical
inferior mesenteric artery	med	medical
inferior olivary complex	med	medical
inferior vena cava	med	medical
inferior wall myocardial infarction	med	medical
inflammation mediators	med	medical
inflammatory bowel diseases	med	medical
inflammatory breast neoplasms	med	medical
influenza in birds	med	medical
influenza vaccines	med	medical
influenza virus hemagglutinin glycoproteins	med	medical
informal sector	med	medical
informal social control	med	medical
information avoidance	med	medical
information centers	med	medical
information dissemination	med	medical
information literacy	med	medical
information management	med	medical
information science	med	medical
information seeking behavior	med	medical
information services	med	medical
information sources	med	medical
information storage and retrieval	med	medical
information systems	med	medical
information technology	med	medical
information theory	med	medical
informed consent	med	medical
informed consent by minors	med	medical
infradian rhythm	med	medical
infrared rays	med	medical
infrared spectrophotometry	med	medical
infratemporal fossa	med	medical
infratentorial neoplasms	med	medical
infusion pumps	med	medical
ingrown nails	med	medical
inguinal canal	med	medical
inguinal hernia	med	medical
inhalant abuse	med	medical
inhalation administration	med	medical
inhalation anesthesia	med	medical
inhalation anesthetics	med	medical
inhalation burns	med	medical
inhalation exposure	med	medical
inhalation spacers	med	medical
inheritance patterns	med	medical
inherited blood coagulation disorders	med	medical
inhibitor of apoptosis proteins	med	medical
inhibitor of differentiation proteins	med	medical
inhibitory postsynaptic potentials	med	medical
inhibitory smad proteins	med	medical
initiator caspases	med	medical
initiator codon	med	medical
injection site reaction	med	medical
injury severity score	med	medical
ink blot tests	med	medical
inlay casting wax	med	medical
innate immunity	med	medical
innate immunity recognition	med	medical
inner ear	med	medical
inorganic carbon compounds	med	medical
inorganic chemicals	med	medical
inorganic chemistry	med	medical
inorganic pyrophosphatase	med	medical
inosine diphosphate	med	medical
inosine monophosphate	med	medical
inosine nucleotides	med	medical
inosine pranobex	med	medical
inosine triphosphatase	med	medical
inosine triphosphate	med	medical
inositol oxygenase	med	medical
inositol phosphates	med	medical
inotuzumab ozogamicin	med	medical
insanity defense	med	medical
insect bites and stings	med	medical
insect chromosomes	med	medical
insect control	med	medical
insect diapause	med	medical
insect genes	med	medical
insect genome	med	medical
insect hormones	med	medical
insect proteins	med	medical
insect repellents	med	medical
insect vectors	med	medical
insect viruses	med	medical
insecticide resistance	med	medical
insemination artificial heterologous	med	medical
insemination artificial homologous	med	medical
insensible water loss	med	medical
insertional mutagenesis	med	medical
inservice training	med	medical
inspiratory capacity	med	medical
inspiratory reserve volume	med	medical
institutional ethics	med	medical
institutional management teams	med	medical
institutional practice	med	medical
institutionalized adolescent	med	medical
institutionalized child	med	medical
instructional film and video	med	medical
insular cortex	med	medical
insulator elements	med	medical
insulin antagonists	med	medical
insulin antibodies	med	medical
insulin aspart	med	medical
insulin coma	med	medical
insulin detemir	med	medical
insulin glargine	med	medical
insulin infusion systems	med	medical
insulin lispro	med	medical
insulin receptor	med	medical
insulin receptor substrate proteins	med	medical
insulin regular human	med	medical
insulin regular pork	med	medical
insulin resistance	med	medical
insulin secretagogues	med	medical
insulin secretion	med	medical
insurance benefits	med	medical
insurance carriers	med	medical
insurance claim reporting	med	medical
insurance claim review	med	medical
insurance coverage	med	medical
insurance health reimbursement	med	medical
insurance pools	med	medical
insurance selection bias	med	medical
integrase inhibitors	med	medical
integration host factors	med	medical
integrative medicine	med	medical
integrative oncology	med	medical
integrin alpha chains	med	medical
integrin alphav	med	medical
integrin beta chains	med	medical
integumentary system	med	medical
integumentary system physiological phenomena	med	medical
intellectual disability	med	medical
intellectual property	med	medical
intelligence tests	med	medical
intelligent systems	med	medical
intense pulsed light therapy	med	medical
intensive care units	med	medical
intention to treat analysis	med	medical
interactive tutorial	med	medical
interactive ventilatory support	med	medical
interatrial block	med	medical
intercalating agents	med	medical
intercellular junctions	med	medical
interceptive orthodontics	med	medical
intercostal muscles	med	medical
intercostal nerves	med	medical
interdepartmental relations	med	medical
interdigitating dendritic cell sarcoma	med	medical
interdisciplinary communication	med	medical
interdisciplinary placement	med	medical
interdisciplinary research	med	medical
interdisciplinary studies	med	medical
interference microscopy	med	medical
interferon gamma receptor	med	medical
interferon inducers	med	medical
interferon lambda	med	medical
interferon receptors	med	medical
interferon regulatory factors	med	medical
intergenerational relations	med	medical
intergenic dna	med	medical
interinstitutional relations	med	medical
interior design and furnishings	med	medical
interleukin inhibitors	med	medical
interleukin receptors	med	medical
interlibrary loans	med	medical
intermediate back muscles	med	medical
intermediate care facilities	med	medical
intermediate filament proteins	med	medical
intermediate filaments	med	medical
intermediate pituitary gland	med	medical
intermediate uveitis	med	medical
intermittent claudication	med	medical
intermittent fasting	med	medical
intermittent pneumatic compression devices	med	medical
intermittent renal replacement therapy	med	medical
intermittent urethral catheterization	med	medical
internal capsule	med	medical
internal carotid artery	med	medical
internal fixators	med	medical
internal fracture fixation	med	medical
internal hernia	med	medical
internal medicine	med	medical
internal ribosome entry sites	med	medical
international agencies	med	medical
international classification of diseases	med	medical
international cooperation	med	medical
international council of nurses	med	medical
international educational exchange	med	medical
international health regulations	med	medical
international law	med	medical
international normalized ratio	med	medical
international nurses	med	medical
international planned parenthood federation	med	medical
international system of units	med	medical
internet access	med	medical
internet addiction disorder	med	medical
internet of things	med	medical
internet use	med	medical
internship and residency	med	medical
interosseous membrane	med	medical
interpeduncular nucleus	med	medical
interpersonal psychotherapy	med	medical
interpersonal relations	med	medical
interpleural analgesia	med	medical
interprofessional education	med	medical
interprofessional relations	med	medical
interrenal gland	med	medical
interrupted time series analysis	med	medical
intersectional framework	med	medical
intersectoral collaboration	med	medical
intersex persons	med	medical
interspersed repetitive sequences	med	medical
interstitial cells of cajal	med	medical
interstitial cystitis	med	medical
interstitial lung diseases	med	medical
interstitial nephritis	med	medical
interstitial pregnancy	med	medical
interventional magnetic resonance imaging	med	medical
interventional radiography	med	medical
interventional radiology	med	medical
interventional ultrasonography	med	medical
intervertebral disc	med	medical
intervertebral disc chemolysis	med	medical
intervertebral disc degeneration	med	medical
intervertebral disc displacement	med	medical
interviews as topic	med	medical
intestinal absorption	med	medical
intestinal atresia	med	medical
intestinal barrier function	med	medical
intestinal diseases	med	medical
intestinal elimination	med	medical
intestinal failure	med	medical
intestinal fistula	med	medical
intestinal lymphangiectasis	med	medical
intestinal mucosa	med	medical
intestinal neoplasms	med	medical
intestinal obstruction	med	medical
intestinal perforation	med	medical
intestinal polyposis	med	medical
intestinal polyps	med	medical
intestinal reabsorption	med	medical
intestinal secretions	med	medical
intestinal volvulus	med	medical
intimate partner violence	med	medical
intraabdominal infections	med	medical
intracameral injection	med	medical
intracellular fluid	med	medical
intracellular membranes	med	medical
intracellular space	med	medical
intracranial aneurysm	med	medical
intracranial arterial diseases	med	medical
intracranial arteriosclerosis	med	medical
intracranial arteriovenous malformations	med	medical
intracranial embolism	med	medical
intracranial embolism and thrombosis	med	medical
intracranial hemorrhages	med	medical
intracranial hypertension	med	medical
intracranial hypotension	med	medical
intracranial pressure	med	medical
intracranial sinus thrombosis	med	medical
intracranial thrombosis	med	medical
intracranial tuberculoma	med	medical
intracranial vasospasm	med	medical
intractable pain	med	medical
intracytoplasmic sperm injections	med	medical
intradermal injections	med	medical
intradermal nevus	med	medical
intradermal tests	med	medical
intraductal papilloma	med	medical
intraepithelial lymphocytes	med	medical
intrahepatic bile ducts	med	medical
intrahepatic cholestasis	med	medical
intralaminar thalamic nuclei	med	medical
intralesional infusions	med	medical
intralesional injections	med	medical
intralymphatic injections	med	medical
intramedullary fracture fixation	med	medical
intramolecular lyases	med	medical
intramolecular oxidoreductases	med	medical
intramolecular transferases	med	medical
intramuscular absorption	med	medical
intramuscular injections	med	medical
intranasal administration	med	medical
intranuclear inclusion bodies	med	medical
intranuclear space	med	medical
intraocular injections	med	medical
intraocular lens implantation	med	medical
intraocular lenses	med	medical
intraocular lymphoma	med	medical
intraocular pressure	med	medical
intraoperative awareness	med	medical
intraoperative care	med	medical
intraoperative complications	med	medical
intraoperative monitoring	med	medical
intraoperative neurophysiological monitoring	med	medical
intraoperative period	med	medical
intraoral electrogalvanism	med	medical
intraosseous infusions	med	medical
intraperitoneal injections	med	medical
intratracheal intubation	med	medical
intratympanic injection	med	medical
intrauterine blood transfusion	med	medical
intrauterine device expulsion	med	medical
intrauterine device migration	med	medical
intrauterine devices	med	medical
intravaginal administration	med	medical
intravenous administration	med	medical
intravenous anesthesia	med	medical
intravenous anesthetics	med	medical
intravenous fat emulsions	med	medical
intravenous immunoglobulins	med	medical
intravenous infusions	med	medical
intravenous injections	med	medical
intravenous substance abuse	med	medical
intraventricular infusions	med	medical
intraventricular injections	med	medical
intravesical administration	med	medical
intravital microscopy	med	medical
intravitreal injections	med	medical
intrinsic factor	med	medical
intrinsic sleep disorders	med	medical
intrinsically disordered proteins	med	medical
introduced species	med	medical
introductory journal article	med	medical
invasive candidiasis	med	medical
invasive fungal infections	med	medical
invasive hydatidiform mole	med	medical
invasive pulmonary aspergillosis	med	medical
invertebrate ganglia	med	medical
invertebrate hormones	med	medical
invertebrate peptide receptors	med	medical
invertebrate photoreceptor cells	med	medical
inverted papilloma	med	medical
inverted repeat sequences	med	medical
investigational drugs	med	medical
investigational new drug application	med	medical
investigational therapies	med	medical
investigative techniques	med	medical
involuntary commitment	med	medical
involuntary euthanasia	med	medical
involuntary fertility control	med	medical
involuntary sterilization	med	medical
involuntary treatment	med	medical
inwardly rectifying potassium channels	med	medical
iodide peroxidase	med	medical
iodinated hydrocarbons	med	medical
iodine compounds	med	medical
iodine isotopes	med	medical
iodine radioisotopes	med	medical
iodized oil	med	medical
iodoacetic acid	med	medical
iodohippuric acid	med	medical
iodothyronine deiodinase type ii	med	medical
ioglycamic acid	med	medical
ion channel gating	med	medical
ion channels	med	medical
ion exchange	med	medical
ion exchange chromatography	med	medical
ion exchange resins	med	medical
ion mobility spectrometry	med	medical
ion pumps	med	medical
ion transport	med	medical
ionic liquids	med	medical
ionizing radiation	med	medical
ionotropic glutamate receptors	med	medical
iopanoic acid	med	medical
iothalamate meglumine	med	medical
iothalamic acid	med	medical
ioxaglic acid	med	medical
ipomoea batatas	med	medical
ipomoea nil	med	medical
ipratropium drug combination albuterol	med	medical
ipso facto	-	latin
iranian traditional medicine	med	medical
iridium radioisotopes	med	medical
iridocorneal endothelial syndrome	med	medical
iridoid glucosides	med	medical
iridoid glycosides	med	medical
iris diseases	med	medical
iris neoplasms	med	medical
iris plant	med	medical
iron carbonyl compounds	med	medical
iron chelating agents	med	medical
iron compounds	med	medical
iron deficiencies	med	medical
iron isotopes	med	medical
iron metabolism disorders	med	medical
iron overload	med	medical
iron radioisotopes	med	medical
irreversible electroporation therapy	med	medical
irritable bowel syndrome	med	medical
irritable mood	med	medical
irritant dermatitis	med	medical
isaacs syndrome	med	medical
ischemic colitis	med	medical
ischemic contracture	med	medical
ischemic optic neuropathy	med	medical
ischemic postconditioning	med	medical
ischemic preconditioning	med	medical
ischemic stroke	med	medical
isethionic acid	med	medical
islands of calleja	med	medical
islet amyloid polypeptide	med	medical
islet amyloid polypeptide receptors	med	medical
islet cell adenoma	med	medical
islet cell carcinoma	med	medical
islets of langerhans	med	medical
islets of langerhans transplantation	med	medical
isoaspartic acid	med	medical
isocitrate dehydrogenase	med	medical
isocitrate lyase	med	medical
isoelectric focusing	med	medical
isoelectric point	med	medical
isogeneic transplantation	med	medical
isolated heart preparation	med	medical
isolated systolic hypertension	med	medical
isolation hospitals	med	medical
isometric contraction	med	medical
isonicotinic acids	med	medical
isonipecotic acids	med	medical
isophane insulin	med	medical
isopropyl thiogalactoside	med	medical
isopycnic centrifugation	med	medical
isosorbide dinitrate	med	medical
isotonic contraction	med	medical
isotonic solutions	med	medical
isotope labeling	med	medical
jaagsiekte sheep retrovirus	med	medical
janus kinase inhibitors	med	medical
janus kinases	med	medical
japanese encephalitis	med	medical
japanese encephalitis vaccines	med	medical
japanese encephalitis virus	med	medical
japanese encephalitis viruses	med	medical
jaw abnormalities	med	medical
jaw cysts	med	medical
jaw diseases	med	medical
jaw edentulous partially	med	medical
jaw fixation techniques	med	medical
jaw fractures	med	medical
jaw neoplasms	med	medical
jaw relation record	med	medical
jc virus	med	medical
jehovah's witnesses	med	medical
jejunal diseases	med	medical
jejunal neoplasms	med	medical
jejunoileal bypass	med	medical
jet injections	med	medical
jet lag syndrome	med	medical
jimpy mice	med	medical
job application	med	medical
job description	med	medical
job satisfaction	med	medical
job security	med	medical
job syndrome	med	medical
joint administration	law	legal
joint capsule	med	medical
joint capsule release	med	medical
joint diseases	med	medical
joint dislocations	med	medical
joint instability	med	medical
joint loose bodies	med	medical
joint petition	law	legal
joint prosthesis	med	medical
journal article	med	medical
journal impact factor	med	medical
judicial role	med	medical
jugular foramina	med	medical
jugular veins	med	medical
jun genes	med	medical
junctional adhesion molecules	med	medical
junctional epidermolysis bullosa	med	medical
jungian theory	med	medical
junin virus	med	medical
jurkat cells	med	medical
jury instructions	law	legal
juvenile arthritis	med	medical
juvenile delinquency	med	medical
juvenile hormones	med	medical
juvenile literature	med	medical
juvenile myoclonic epilepsy	med	medical
juvenile xanthogranuloma	med	medical
juxtacortical osteosarcoma	med	medical
juxtaglomerular apparatus	med	medical
kainic acid	med	medical
kainic acid receptors	med	medical
kallmann syndrome	med	medical
kampo medicine	med	medical
kanamycin kinase	med	medical
kanamycin resistance	med	medical
kaposi sarcoma	med	medical
kaposi varicelliform eruption	med	medical
karaya gum	med	medical
karnofsky performance status	med	medical
karoshi death	med	medical
kartagener syndrome	med	medical
katp channels	med	medical
kaurane diterpenes	med	medical
kazal motifs	med	medical
kazal pancreatic trypsin inhibitor	med	medical
kb cells	med	medical
kcnq potassium channels	med	medical
kelch repeat	med	medical
keratan sulfate	med	medical
keratoconjunctivitis sicca	med	medical
keratoderma palmoplantar diffuse	med	medical
keratoderma palmoplantar epidermolytic	med	medical
keratolytic agents	med	medical
keto acids	med	medical
ketogenic diet	med	medical
ketoglutarate dehydrogenase complex	med	medical
ketoglutaric acids	med	medical
ketone bodies	med	medical
ketone oxidoreductases	med	medical
ketorolac tromethamine	med	medical
kidney calculi	med	medical
kidney calices	med	medical
kidney concentrating ability	med	medical
kidney cortex	med	medical
kidney cortex necrosis	med	medical
kidney diseases	med	medical
kidney function tests	med	medical
kidney glomerulus	med	medical
kidney medulla	med	medical
kidney neoplasms	med	medical
kidney papillary necrosis	med	medical
kidney pelvis	med	medical
kidney transplantation	med	medical
kidney tubules	med	medical
killer whale	med	medical
kimura disease	med	medical
kinetoplast dna	med	medical
king's evil	med	medical
kingella kingae	med	medical
kir receptors	med	medical
kirsten murine sarcoma virus	med	medical
klatskin tumor	med	medical
klebsiella infections	med	medical
klebsiella oxytoca	med	medical
klebsiella pneumoniae	med	medical
klinefelter syndrome	med	medical
klotho proteins	med	medical
knee dislocation	med	medical
knee fractures	med	medical
knee injuries	med	medical
knee joint	med	medical
knee medial collateral ligament	med	medical
knee osteoarthritis	med	medical
knee prosthesis	med	medical
knockout mice	med	medical
knowledge bases	med	medical
knowledge discovery	med	medical
knowledge management	med	medical
kombucha tea	med	medical
korean traditional medicine	med	medical
korean war	med	medical
korsakoff syndrome	med	medical
kounis syndrome	med	medical
krukenberg tumor	med	medical
krypton radioisotopes	med	medical
ku autoantigen	med	medical
kunitz soybean trypsin inhibitor	med	medical
kupffer cells	med	medical
kveim test	med	medical
kyasanur forest disease	med	medical
kynurenic acid	med	medical
la crosse virus	med	medical
labial frenum	med	medical
labor onset	med	medical
labor pain	med	medical
labor presentation	med	medical
labor unions	med	medical
laboratory animal science	med	medical
laboratory animals	med	medical
laboratory automation	med	medical
laboratory chemicals	med	medical
laboratory critical values	med	medical
laboratory infection	med	medical
laboratory manual	med	medical
laboratory personnel	med	medical
laboratory proficiency testing	med	medical
labyrinth diseases	med	medical
labyrinth fenestration	med	medical
labyrinth supporting cells	med	medical
labyrinth vestibule	med	medical
labyrinthine fluids	med	medical
lac operon	med	medical
lac repressors	med	medical
lacanian theory	med	medical
lacrimal apparatus	med	medical
lacrimal apparatus diseases	med	medical
lacrimal duct obstruction	med	medical
lacrimal elimination	med	medical
lactate dehydrogenases	med	medical
lactation disorders	med	medical
lacteal elimination	med	medical
lactic acid	med	medical
lactic acidosis	med	medical
lacticaseibacillus casei	med	medical
lacticaseibacillus paracasei	med	medical
lacticaseibacillus rhamnosus	med	medical
lactobacillus acidophilus	med	medical
lactobacillus crispatus	med	medical
lactobacillus delbrueckii	med	medical
lactobacillus gasseri	med	medical
lactobacillus helveticus	med	medical
lactobacillus johnsonii	med	medical
lactobacillus leichmannii	med	medical
lactobacillus pentosus	med	medical
lactobacillus plantarum	med	medical
lactococcus lactis	med	medical
lactose factors	med	medical
lactose intolerance	med	medical
lactose synthase	med	medical
lactose tolerance test	med	medical
lactoylglutathione lyase	med	medical
lacunar stroke	med	medical
lafora disease	med	medical
lamellar bodies	med	medical
lamellar ichthyosis	med	medical
laminin receptors	med	medical
langerhans cell sarcoma	med	medical
langerhans cells	med	medical
langhans giant cells	med	medical
language arts	med	medical
language development	med	medical
language development disorders	med	medical
language disorders	med	medical
language tests	med	medical
language therapy	med	medical
lanthanoid series elements	med	medical
laparoscopic cholecystectomy	med	medical
large cell carcinoma	med	medical
large granular lymphocytic leukemia	med	medical
large intestine	med	medical
large language models	med	medical
large maf transcription factors	med	medical
large ribosome subunits	med	medical
laron syndrome	med	medical
larva migrans	med	medical
laryngeal cartilages	med	medical
laryngeal diseases	med	medical
laryngeal edema	med	medical
laryngeal granuloma	med	medical
laryngeal masks	med	medical
laryngeal mucosa	med	medical
laryngeal muscles	med	medical
laryngeal neoplasms	med	medical
laryngeal nerve injuries	med	medical
laryngeal nerves	med	medical
laryngeal tuberculosis	med	medical
laryngopharyngeal reflux	med	medical
laser angioplasty	med	medical
laser capture microdissection	med	medical
laser coagulation	med	medical
laser corneal surgery	med	medical
laser in situ keratomileusis	med	medical
laser lithotripsy	med	medical
laser scanning cytometry	med	medical
laser speckle contrast imaging	med	medical
laser therapy	med	medical
lassa fever	med	medical
lassa virus	med	medical
late onset disorders	med	medical
latent class analysis	med	medical
latent infection	med	medical
latent syphilis	med	medical
latent tuberculosis	med	medical
lateral hypothalamic area	med	medical
lateral internal sphincterotomy	med	medical
lateral line system	med	medical
lateral medullary syndrome	med	medical
lateral sinus thrombosis	med	medical
lateral thalamic nuclei	med	medical
lateral ventricles	med	medical
lateral vestibular nucleus	med	medical
latex fixation tests	med	medical
latex hypersensitivity	med	medical
latilactobacillus sakei	med	medical
latin america	med	medical
laughter therapy	med	medical
lauric acids	med	medical
law enforcement	med	medical
lawsonia bacteria	med	medical
lawsonia plant	med	medical
ldl cholesterol	med	medical
ldl lipoproteins	med	medical
ldl receptors	med	medical
le fort osteotomy	med	medical
lead poisoning	med	medical
lead radioisotopes	med	medical
learned helplessness	med	medical
learning curve	med	medical
learning disabilities	med	medical
learning health system	med	medical
leber congenital amaurosis	med	medical
lecithin cholesterol acyltransferase deficiency	med	medical
lecture note	med	medical
left atrial appendage closure	med	medical
left atrial function	med	medical
left heart bypass	med	medical
left ventricular dysfunction	med	medical
left ventricular function	med	medical
left ventricular hypertrophy	med	medical
left ventricular outflow obstruction	med	medical
leg bones	med	medical
leg dermatoses	med	medical
leg injuries	med	medical
leg length inequality	med	medical
leg ulcer	med	medical
legal abortion	med	medical
legal case	med	medical
legal epidemiology	med	medical
legal guardians	med	medical
legal liability	med	medical
legal services	med	medical
legendary creatures	med	medical
legionella longbeachae	med	medical
legionella pneumophila	med	medical
legislation as topic	med	medical
leigh disease	med	medical
leishmania braziliensis	med	medical
leishmania donovani	med	medical
leishmania enriettii	med	medical
leishmania guyanensis	med	medical
leishmania infantum	med	medical
leishmania major	med	medical
leishmania mexicana	med	medical
leishmania tropica	med	medical
leishmaniasis vaccines	med	medical
leisure activities	med	medical
lemierre syndrome	med	medical
length of stay	med	medical
lennox gastaut syndrome	med	medical
lens diseases	med	medical
lens plant	med	medical
lens subluxation	med	medical
lente insulin	med	medical
lentivirus infections	med	medical
leopard syndrome	med	medical
leper colonies	med	medical
lepidium sativum	med	medical
lepromatous leprosy	med	medical
leprostatic agents	med	medical
leptin receptors	med	medical
leptospira interrogans	med	medical
leptospira interrogans serovar australis	med	medical
leptospira interrogans serovar autumnalis	med	medical
leptospira interrogans serovar canicola	med	medical
leptospira interrogans serovar hebdomadis	med	medical
leptospira interrogans serovar icterohaemorrhagiae	med	medical
leptospira interrogans serovar pomona	med	medical
leriche syndrome	med	medical
lesser pelvis	med	medical
lethal genes	med	medical
lethal midline granuloma	med	medical
leucine dehydrogenase	med	medical
leucine enkephalin	med	medical
leucine transaminase	med	medical
leucine zippers	med	medical
leuconostoc mesenteroides	med	medical
leucyl aminopeptidase	med	medical
leukemia basophilic acute	med	medical
leukemia biphenotypic acute	med	medical
leukemia eosinophilic acute	med	medical
leukemia erythroblastic acute	med	medical
leukemia inhibitory factor	med	medical
leukemia megakaryoblastic acute	med	medical
leukemia monocytic acute	med	medical
leukemia myeloid accelerated phase	med	medical
leukemia myeloid acute	med	medical
leukemia myelomonocytic acute	med	medical
leukemia myelomonocytic chronic	med	medical
leukemia myelomonocytic juvenile	med	medical
leukemia neutrophilic chronic	med	medical
leukemia promyelocytic acute	med	medical
leukemic gene expression regulation	med	medical
leukemic infiltration	med	medical
leukemoid reaction	med	medical
leukocyte adherence inhibition test	med	medical
leukocyte cell migration assays	med	medical
leukocyte chemotaxis	med	medical
leukocyte common antigens	med	medical
leukocyte count	med	medical
leukocyte disorders	med	medical
leukocyte elastase	med	medical
leukocyte reduction procedures	med	medical
leukocyte rolling	med	medical
leukocyte transfusion	med	medical
leukotriene antagonists	med	medical
leukotriene receptors	med	medical
levilactobacillus brevis	med	medical
levulinic acids	med	medical
lewis acids	med	medical
lewis bases	med	medical
lewis blood group antigens	med	medical
lewis lung carcinoma	med	medical
lewy bodies	med	medical
lewy body disease	med	medical
leydig cell tumor	med	medical
leydig cells	med	medical
lh receptors	med	medical
lhrh receptors	med	medical
liability insurance	med	medical
library administration	med	medical
library associations	med	medical
library automation	med	medical
library catalogs	med	medical
library collection development	med	medical
library materials	med	medical
library schools	med	medical
library science	med	medical
library services	med	medical
library surveys	med	medical
library technical services	med	medical
lice infestations	med	medical
licensed practical nurses	med	medical
lichen nitidus	med	medical
lichen planus	med	medical
lichen sclerosus et atrophicus	med	medical
lichenoid eruptions	med	medical
liddle syndrome	med	medical
lie detection	med	medical
life change events	med	medical
life course perspective	med	medical
life cycle stages	med	medical
life expectancy	med	medical
life history traits	med	medical
life insurance	med	medical
life style	med	medical
life support care	med	medical
life support systems	med	medical
life tables	med	medical
ligamentum flavum	med	medical
ligase chain reaction	med	medical
light coagulation	med	medical
light metals	med	medical
light pollution	med	medical
light signal transduction	med	medical
lightning injuries	med	medical
ligilactobacillus salivarius	med	medical
likelihood functions	med	medical
lim domain proteins	med	medical
lim kinases	med	medical
limb buds	med	medical
limb salvage	med	medical
limbal stem cell deficiency	med	medical
limbal stem cells	med	medical
limbic encephalitis	med	medical
limbic lobe	med	medical
limbic system	med	medical
limbus corneae	med	medical
limit of detection	med	medical
limited english proficiency	med	medical
limited scleroderma	med	medical
limonene hydroxylases	med	medical
limosilactobacillus fermentum	med	medical
limosilactobacillus reuteri	med	medical
limulus test	med	medical
linear energy transfer	med	medical
linear iga bullous dermatosis	med	medical
linear models	med	medical
linear programming	med	medical
lingual frenum	med	medical
lingual goiter	med	medical
lingual nerve	med	medical
lingual nerve injuries	med	medical
lingual thyroid	med	medical
linitis plastica	med	medical
linkage disequilibrium	med	medical
linoleic acid	med	medical
linoleic acids	med	medical
linolenic acids	med	medical
linseed oil	med	medical
lip diseases	med	medical
lip neoplasms	med	medical
lipid accumulation product	med	medical
lipid bilayers	med	medical
lipid droplet associated proteins	med	medical
lipid droplets	med	medical
lipid metabolism	med	medical
lipid metabolism disorders	med	medical
lipid mobilization	med	medical
lipid peroxidation	med	medical
lipid peroxides	med	medical
lipid pneumonia	med	medical
lipid regulating agents	med	medical
lipoatrophic diabetes mellitus	med	medical
lipoid nephrosis	med	medical
lipopolysaccharide receptors	med	medical
lipoprotein lipase	med	medical
lipoprotein lipase activators	med	medical
lipoprotein receptors	med	medical
lipotropic agents	med	medical
lipoxin receptors	med	medical
lipoxygenase inhibitors	med	medical
liquid biopsy	med	medical
liquid chromatography	med	medical
liquid crystals	med	medical
liquid phase microextraction	med	medical
liquid ventilation	med	medical
liquidated claim	law	legal
liriope plant	med	medical
lisdexamfetamine dimesylate	med	medical
lissamine green dyes	med	medical
listening effort	med	medical
listeria meningitis	med	medical
listeria monocytogenes	med	medical
lithium carbonate	med	medical
lithium chloride	med	medical
lithium compounds	med	medical
lithocholic acid	med	medical
litter size	med	medical
live birth	med	medical
livedo reticularis	med	medical
livedoid vasculopathy	med	medical
liver abscess	med	medical
liver cell adenoma	med	medical
